sept20_publishFINAL
Operator,Technology1,Upload or Download,Speed,Signal Strength,Location
JIO,4G,download,36353,-88,Delhi
JIO,4G,upload,2437,-88,Delhi
JIO,4G,upload,3160,-88,Delhi
JIO,4G,upload,7766,-68,Kolkata
JIO,4G,upload,7191,-68,Kolkata
JIO,4G,upload,7656,-66,Kolkata
JIO,4G,upload,7542,-66,Kolkata
JIO,4G,upload,7185,-66,Kolkata
AIRTEL,4G,download,0.0,-69,Andhra Pradesh
IDEA,4G,download,7,-79,Maharashtra
IDEA,4G,download,16007,-75,Maharashtra
IDEA,4G,download,42602,-77,Maharashtra
IDEA,4G,download,17626,-77,Maharashtra
IDEA,4G,download,2811,-81,Maharashtra
IDEA,4G,download,20358,-79,Maharashtra
IDEA,4G,download,3108,-67,Maharashtra
IDEA,4G,download,13251,-79,Maharashtra
IDEA,4G,download,23240,-75,Maharashtra
JIO,4G,download,53497,-64,UP East
JIO,4G,upload,3889,-64,UP East
JIO,4G,download,76807,-69,Rajasthan
JIO,4G,upload,8682,-69,Rajasthan
JIO,4G,download,22636,-70,UP East
JIO,4G,download,52320,-70,UP East
JIO,4G,download,50858,-70,UP East
JIO,4G,upload,6509,-70,UP East
JIO,4G,upload,6517,-70,UP East
JIO,4G,upload,3431,-70,UP East
JIO,4G,download,54894,-66,Delhi
JIO,4G,download,55260,-68,Delhi
JIO,4G,download,52799,-68,Delhi
AIRTEL,4G,download,1,na,Orissa
AIRTEL,4G,upload,803,na,Orissa
CELLONE,3G,download,2028,na,Kerala
CELLONE,3G,upload,352,na,Kerala
JIO,4G,download,47928,-71,UP West
JIO,4G,upload,6347,-71,UP West
JIO,4G,download,3691,-89,Madhya Pradesh
JIO,4G,download,4208,-101,Madhya Pradesh
JIO,4G,download,15591,-97,Madhya Pradesh
JIO,4G,download,17191,-101,Madhya Pradesh
JIO,4G,download,24754,-97,Madhya Pradesh
JIO,4G,download,549,na,Madhya Pradesh
JIO,4G,download,661,-107,Madhya Pradesh
JIO,4G,download,25260,-101,Madhya Pradesh
JIO,4G,download,1331,-109,Madhya Pradesh
JIO,4G,download,4198,-99,Madhya Pradesh
JIO,4G,download,20324,-97,Madhya Pradesh
JIO,4G,download,17158,-101,Madhya Pradesh
JIO,4G,download,430,-105,Madhya Pradesh
JIO,4G,download,16655,-99,Madhya Pradesh
JIO,4G,download,28556,-95,Madhya Pradesh
JIO,4G,download,8035,-101,Madhya Pradesh
JIO,4G,download,11359,-91,Madhya Pradesh
JIO,4G,download,7639,-103,Madhya Pradesh
JIO,4G,download,7295,-107,Madhya Pradesh
JIO,4G,download,8560,-105,Madhya Pradesh
JIO,4G,download,8707,-107,Madhya Pradesh
JIO,4G,download,9318,-105,Madhya Pradesh
JIO,4G,download,8179,-67,Madhya Pradesh
JIO,4G,download,8721,-61,Madhya Pradesh
JIO,4G,upload,1674,-89,Madhya Pradesh
JIO,4G,upload,1691,-101,Madhya Pradesh
JIO,4G,upload,4562.0,-97,Madhya Pradesh
JIO,4G,upload,3337,-101,Madhya Pradesh
JIO,4G,upload,14757,-97,Madhya Pradesh
JIO,4G,upload,167,-111,Madhya Pradesh
JIO,4G,upload,543,-103,Madhya Pradesh
JIO,4G,upload,1060,-99,Madhya Pradesh
JIO,4G,upload,55,-103,Madhya Pradesh
JIO,4G,upload,1645,-99,Madhya Pradesh
JIO,4G,upload,2154,-95,Madhya Pradesh
JIO,4G,upload,11673,-101,Madhya Pradesh
JIO,4G,upload,413,-103,Madhya Pradesh
JIO,4G,upload,8630,-99,Madhya Pradesh
JIO,4G,upload,4887,-93,Madhya Pradesh
JIO,4G,upload,887,-101,Madhya Pradesh
JIO,4G,upload,1353,-87,Madhya Pradesh
JIO,4G,upload,1700,-105,Madhya Pradesh
JIO,4G,upload,278,-105,Madhya Pradesh
JIO,4G,upload,677,-101,Madhya Pradesh
JIO,4G,upload,1129,-101,Madhya Pradesh
JIO,4G,upload,6268,-105,Madhya Pradesh
JIO,4G,upload,7852,-67,Madhya Pradesh
JIO,4G,upload,6521,-69,Madhya Pradesh
AIRTEL,4G,upload,10555,-61,Bihar
JIO,4G,download,14844,-95,Maharashtra
JIO,4G,download,9857,-86,Maharashtra
JIO,4G,download,36893,-85,Maharashtra
JIO,4G,download,20736,-88,Maharashtra
JIO,4G,download,22144,-97,Maharashtra
JIO,4G,download,38512,-69,Maharashtra
JIO,4G,download,16380,-104,Maharashtra
JIO,4G,download,23102,-93,Maharashtra
JIO,4G,download,27228,-86,Maharashtra
JIO,4G,download,41546,-79,Maharashtra
JIO,4G,download,21097,-83,Maharashtra
JIO,4G,download,126,-90,Maharashtra
JIO,4G,download,15794,-95,Maharashtra
JIO,4G,download,13640,-86,Maharashtra
JIO,4G,download,6591,-79,Maharashtra
JIO,4G,download,26196,-84,Maharashtra
JIO,4G,download,3921,-77,Maharashtra
JIO,4G,download,33154,-88,Maharashtra
JIO,4G,download,22832,-80,Maharashtra
JIO,4G,upload,959,-94,Maharashtra
JIO,4G,upload,1878,-84,Maharashtra
JIO,4G,upload,6731,-85,Maharashtra
JIO,4G,upload,6108,-86,Maharashtra
JIO,4G,upload,2852,-97,Maharashtra
JIO,4G,upload,3895,-69,Maharashtra
JIO,4G,upload,2026,-95,Maharashtra
JIO,4G,upload,1392,-92,Maharashtra
JIO,4G,upload,3508,-90,Maharashtra
JIO,4G,upload,8365,-79,Maharashtra
JIO,4G,upload,6438,-84,Maharashtra
JIO,4G,upload,396,-90,Maharashtra
JIO,4G,upload,5338,-90,Maharashtra
JIO,4G,upload,4952,-84,Maharashtra
JIO,4G,upload,2834,-79,Maharashtra
JIO,4G,upload,7328,-84,Maharashtra
JIO,4G,upload,2116,-76,Maharashtra
JIO,4G,upload,5120,-86,Maharashtra
JIO,4G,upload,9191,-80,Maharashtra
JIO,4G,download,8276,-111,Kerala
JIO,4G,download,5627,-105,Kerala
JIO,4G,upload,1364,-111,Kerala
JIO,4G,upload,1292,-105,Kerala
AIRTEL,4G,download,11216,-92,Tamil Nadu
AIRTEL,4G,download,46160,-102,Tamil Nadu
AIRTEL,4G,download,1823,-108,Tamil Nadu
AIRTEL,4G,upload,1793,-93,Tamil Nadu
AIRTEL,4G,upload,1034,-100,Tamil Nadu
AIRTEL,4G,upload,749,-108,Tamil Nadu
JIO,4G,download,5215,-67,Rajasthan
JIO,4G,download,84184,-74,Kolkata
JIO,4G,download,86282,-74,Kolkata
JIO,4G,upload,8813,-74,Kolkata
JIO,4G,upload,9372,-74,Kolkata
AIRTEL,4G,download,976,-77,Kerala
AIRTEL,4G,download,343,-81,Kerala
AIRTEL,4G,download,1085,-85,Kerala
AIRTEL,4G,download,14383,-51,Kerala
JIO,4G,download,2789,-69,Kerala
AIRTEL,4G,upload,227,-77,Kerala
AIRTEL,4G,upload,1712,-81,Kerala
AIRTEL,4G,upload,913,-85,Kerala
AIRTEL,4G,upload,8863,-51,Kerala
JIO,4G,upload,590,-73,Kerala
JIO,4G,download,1649,-76,UP West
JIO,4G,download,6433,-66,UP West
JIO,4G,upload,5406,-79,UP West
JIO,4G,upload,3650,-83,UP West
JIO,4G,download,39915,-63,Karnataka
JIO,4G,upload,6418,-65,Karnataka
AIRTEL,4G,download,7349,-83,UP East
AIRTEL,4G,download,9097,-69,UP East
AIRTEL,4G,download,6596,-69,UP East
AIRTEL,4G,download,3447,-73,UP East
AIRTEL,4G,download,2790,-75,UP East
JIO,4G,download,2851,na,Madhya Pradesh
JIO,4G,download,3125,na,Madhya Pradesh
JIO,4G,upload,861,na,Madhya Pradesh
JIO,4G,upload,554,na,Madhya Pradesh
AIRTEL,4G,download,1514,-109,Tamil Nadu
AIRTEL,4G,upload,302,-109,Tamil Nadu
AIRTEL,4G,download,1054,-112,Karnataka
AIRTEL,4G,download,999,-107,Karnataka
AIRTEL,4G,upload,556,-111,Karnataka
AIRTEL,4G,upload,291,-108,Karnataka
JIO,4G,upload,293,-107,Assam
JIO,4G,upload,521,-107,Assam
JIO,4G,upload,2585,-97,Assam
JIO,4G,download,2927,-111,Mumbai
JIO,4G,download,2233,-111,Mumbai
JIO,4G,download,4886,-109,Mumbai
JIO,4G,download,5465,-95,Mumbai
JIO,4G,download,9690,-108,Mumbai
JIO,4G,download,8785,-111,Mumbai
JIO,4G,download,897,-111,Mumbai
JIO,4G,download,3310,-112,Mumbai
JIO,4G,download,1488,-112,Mumbai
JIO,4G,download,1652,na,Mumbai
JIO,4G,download,6442,-101,Mumbai
JIO,4G,download,5168,-100,Mumbai
JIO,4G,download,3600,-91,Mumbai
JIO,4G,download,2597,na,Mumbai
JIO,4G,download,7990,na,Mumbai
JIO,4G,download,2550,na,Mumbai
JIO,4G,download,526,na,Mumbai
JIO,4G,download,6672,-93,Mumbai
JIO,4G,download,11184,-93,Mumbai
JIO,4G,download,7384,-93,Mumbai
JIO,4G,download,9204,-92,Mumbai
JIO,4G,download,8286,-92,Mumbai
JIO,4G,download,335,na,Mumbai
JIO,4G,download,3215,-110,Mumbai
JIO,4G,download,3418,-108,Mumbai
JIO,4G,download,2069,-108,Mumbai
JIO,4G,download,2256,na,Mumbai
JIO,4G,download,2006,na,Mumbai
JIO,4G,download,181,-106,Mumbai
JIO,4G,download,8834,-111,Mumbai
JIO,4G,download,9301,-109,Mumbai
JIO,4G,download,6463,-106,Mumbai
JIO,4G,download,3923,-110,Mumbai
JIO,4G,download,65,-85,Mumbai
JIO,4G,download,11,-108,Mumbai
JIO,4G,download,14314,-80,Mumbai
JIO,4G,upload,519,-111,Mumbai
JIO,4G,upload,357,-111,Mumbai
JIO,4G,upload,970,-108,Mumbai
JIO,4G,upload,1102,-95,Mumbai
JIO,4G,upload,876,-111,Mumbai
JIO,4G,upload,933,-110,Mumbai
JIO,4G,upload,216,na,Mumbai
JIO,4G,upload,503,-112,Mumbai
JIO,4G,upload,332,-112,Mumbai
JIO,4G,upload,544,-94,Mumbai
JIO,4G,upload,4729,-100,Mumbai
JIO,4G,upload,5589,-91,Mumbai
JIO,4G,upload,346,-91,Mumbai
JIO,4G,upload,335,na,Mumbai
JIO,4G,upload,738,na,Mumbai
JIO,4G,upload,565,na,Mumbai
JIO,4G,upload,657,na,Mumbai
JIO,4G,upload,10889,-93,Mumbai
JIO,4G,upload,10604,-93,Mumbai
JIO,4G,upload,11068,-93,Mumbai
JIO,4G,upload,11704,-93,Mumbai
JIO,4G,upload,5082,-92,Mumbai
JIO,4G,upload,349,na,Mumbai
JIO,4G,upload,944,-109,Mumbai
