Screen Name,Location,Tweet
Sajal Mahesh,NaN,"Reliance wants to be a tech giant, but Jio faces many rivals #jio #byjus"
IANS Tweets,NaN,The Competition Commission of India (@CCI_India) has approved the acquisition of 7.73 per cent in #Jio Platforms by #Google (@Google).
Anonymous BUT RESPONSIBLE,NaN,Wanted to give a complaint for extremely slow net. See? I can't even open my jio app to give a complaint. I get it u started by giving free but don't forget now u r taking ₹599. #myjio #reliance #jio
Naren Nagpal,NaN,"#Facebook, #Google wanted a piece of #Jio—but #Softbank said no thanks #Future #Trend #Digital #Technology #DigitalIndia #Strategy #CxO"
Kiran Kumar,NaN,"#Jio check #Quibi , this works very well in indian market and only you can do it . Great #opportunity"
DesignYourInvestments 🔍📊🔎Dividend Radar📡,NaN,#Jio #google #relianceindustries #CompetitionCommission Competition Commission clears Google buying 7.7% stake in Jio
shashank pandey,NaN,"Soon in #India you will see #Jio n Ambani everywhere, either its cricket or business. @IPL @mipaltan @aajtak @aajtak @ZeeNews @BBCHindi"
Lokesh,NaN,Don't install @airtelindia optic fibre wait for @reliancejio. Worst service before installation from @airtelindia #jio is best #airtel is worst
DT Next,NaN,The Competition Commission of India (CCI) on Wednesday said it has approved internet major #Google's proposed purchase of 7.73 per cent stake in #Jio Platforms.
India TV,NaN,CCI clears Google buying 7.7 per cent stake in Jio | via @IndiaTVNews #jio #google #JioGoogleDeal
Siddharth Bothra,NaN,CCI approves @Google's $4.5B deal with Jio Platforms. What benefits do you think will Jio get by a partnership with Google? #Google #Jio
ET Retail,NaN,ETRetail | Amazon tells Delhi court that Singapore stay on sale of Future Group's assets binding in India #FutureGroup #Amazon #Jio #MukeshAmbani #Reliance #IndiaRetal #Future #KishoreBiyani
Tej,NaN,This is the service of jio without solving the issue they are closing the complaint Don't go for jio fiber #JioFiber #jio @reliancejio they haven't solved my compaint and closed also #Chorcompany
Udhay 🚀 | #AngularHive,NaN,"Folks, which network you suggest for Mobile in India? Airtel or Jio.. 🤔 I need good coverage, maximum data, decent speed (4G) at reasonable price. TIA 🙏 #airtel #jio"
Suman Chakma - 𑄌𑄪𑄟𑄧𑄚𑄴 𑄌𑄋𑄴𑄟𑄳𑄦,NaN,"Well done @BuddhaDhan, MLA for addressing the network problem in the #ChakmaAutonomousDistrictCouncil region. If the #Jio network service is activated, many problems related to internet will be solved. @TowerJio @JioCare @JioInMizoram #Chawngte RT @thebpstimes: Dr BD Chakma writes Jio Regional Manager to activate services"
Raj,NaN,Why have you stated sending these annoying messages lately? I never used to get these? PLS STOP @reliancejio @JioCare #Jio
Kumar Siddharth,NaN,Follow us on telegram for more:-  Stay tuned and do like and comment on everyone if you are impressed with the posts. #mumbai #market #jio #traditionalart #tradingforex #trader #technique #factsoflife #businessowner #professional #profit #microsoft #sensex
Aarti Kulkarni,NaN,Inspite of complaining couple of times #vodafoneindia still there is network issue for Idea number.Pls do something ASAP or I will port to other network #jio #Airtel
Ananya Bhattacharya,NaN,"welcome to the #jio dat(a)ing show. #facebook, #google, #silverlake, #kkr, #pif, #aida were all matches but #softbank swiped left"
Yog Bottle Designs,NaN,Do you make cooker too? 😊 #MukeshAmbani #jio
Trump,NaN,Billionaire Mukesh Ambani’s retail websites -- including JioMart -- are launching a discount war to elbow their way into a space long dominated by Amazon and Flipkart  #Jio #Amazon #futuregroup
Neel Thakkar,NaN,#jio #mobikwik worst apps/companies ever #fake #worst @reliancejio @JioCare @MobiKwik @MobiKwikSWAT As mentioned in the my jio app that in the first ever recharge 100INR is cashback but it's #fraud now no one is replying. I think my words are hitting to the deaf ears!!!
Soundar C / சௌந்தர் செ,NaN,"Airtel Adds Over 10 Lakh More Subscribers Than Reliance Jio in August: TRAI Airtel added 28.99 lakh subscribers, whereas Jio remained significantly behind with 18.64 lakh subscriber additions. #Airtel #Jio @airtelindia @reliancejio #TRAI #reliancejio"
Vivek Chowdhury,NaN,"#JIO @CMOfficeUP @PMOIndia . Hello, Everyone, I am facing issue with my network (Jio) Also I made a complaint regarding this 50 times to Joi call centre and always get a response from them that it will resolve. Request you to all to resolve the connectivity issue into my location"
Kumar Siddharth,NaN,Follow us on telegram for more:-  Stay tuned and do like and comment on everyone if you are impressed with the posts. #mumbai #market #jio #traditionalart #tradingforex #trader #technique #factsoflife #businessowner #professional #profit #microsoft #sensex
Kumar Siddharth,NaN,Follow us on telegram for more:-  Stay tuned and do like and comment on everyone if you are impressed with the posts. #mumbai #market #jio #traditionalart #tradingforex #trader #technique #factsoflife #businessowner #professional #profit #microsoft #sensex
#activist@socal,NaN,"Soon if the #Jio care @jio4g #network problem is not rectified from our #village, #Markan we will write a #thousand #postcard #campaign #trai to #Mukesh Ambani and #recall to the #entire #consumer. #Sri Mohan Mishra Markan Muzaffarpur Bihar Pin 843118 @JioCare @KumarNavin82"
#activist@socal,NaN,"Till then, we will keep #complaining, send your #TM, which has given them the #wrong #information about our #village #area, that there is #good #coverage so far it is being #blamed #SRI Mohan Mishra #Jio hed #Bihar #Mukesh Ambani #Jio4g _Network_ problem @JioCare @KumarNavin82"
#activist@socal,NaN,"_Theirs is #Jio __care theirs again Huge network, crores of consumers, many consumers kept complaints related to me, everyone said the same thing so far there has been no improvement on anyone's complaint. #SRI Mohan Mishra #Jio hed #Bihar @JioCare @KumarNavin82"
Pavan Kumar Ponugoti,NaN,"#MukeshAmbani Ambani sir just owned this team and he made investments in all teams, if it is fixed then all the teams are fixers, whole IPL is a fixing league. #Jio #IPLfinal"
OnlyTech.com,NaN,JioCare Support is now just a WhatsApp away @reliancejio #Jio #RelianceJio #WhatsApp
#activist@socal,NaN,"The #third month has #passed, #complaining about the #bad___ #____network for a #year, now they are #ignoring or the #_____old #language they give to all the #Jio___consumers #Sri Mohan Mishra #Bihar #Jio hed #Mukesh Ambani @JioCare @KumarNavin82"
Vikas Pundir,NaN,Jio internet is too slow like a tortoise do something #MukeshAmbani #JIO #complain Want to switch to #Airtel
ETTelecom,NaN,ETTelecom | Mukesh Ambani takes on Amazon in one of the world's last big consumer markets #MukeshAmbani #Amazon #Jio #Reliance #Deepawali #Industry #JeffBezos #Retail #Diwali
ET Retail,NaN,ETRetail | Mukesh Ambani takes on Amazon in one of the world's last big consumer markets #MukeshAmbani #Amazon #Jio #Reliance #Deepawali #JeffBezos #Retail #Diwali
ePayIndia,NaN,Mukesh Ambani takes on Amazon in one of the world's last big consumer markets #retailing #ecommerce #jiomart #jio #amazonindia #amazon #futuregroup #tatagroup #tatacliq #paytmmall #snapdeal #mcommerce #payments #payment
Tax4wealth,NaN,Daily Financial updates 11th Nov 2020. #business #news #update #finance #market #economy #growth #daily #company #services #jio #stockmarket #share #gdp #rbi #nse #india #tax4wealth #businessowner #salary #businesses #wealth #daily #usa #india @EconomicTimes @bsindia @business
UnlistedZone,NaN,"This is the kind of Digital growth standing infront of us. You will ask what kind of growth. Read this ET news, #Google, #Amazon, #fb are looking to partner with #JIO to launch payment system rival to #NPCI."
Gaurav Mishra,NaN,#JIO #jiospeed please don't get enticed with the offers of Jio plan. I applied for connection 10 days back and still waiting. The team is so rude that now they have stopped picking up calls...every other day I receive following sms. JioFiber request ID is NO0000FJ9X4C
Sadanand,NaN,"#BhartiAirtel, #Vi, Reliance #JIO Tariffs Among Lowest in the World The report releasedin early November compares the 4G and 5G monthly telecom prices among 168 #Telecom operators in 48 countries for the period ended September 2020. Time for #floorprice"
Manohar,NaN,#MukeshAmbani 'may' loose $5B in next 3 months #Jio
The Next Tech,NaN,Reliance says its $3.4B deal with Future Group ‘fully enforceable under Indian law’ despite #Amazon winning an arbitration Order  #ecommerce #futuregroup #jio #mukeshambani #relience
swati singh,NaN,Congratulations @mipaltan for your 5th Consecutive victory Well done @ishankishan51 @surya_14kumar @ImRo45 @trent_boult @Jaspritbumrah93 @KagisoRabada25 and whole team of @mipaltan #Jio #Dream11IPLFinal RT @IPL: CHAMPIONS!! #MumbaiIndians #Dream11IPL
Vikram Garla,NaN,He may not be able to fix JIOs network issues but he can definitely fix the IPL. Thank you Mr. Ambani ❤️ #Dream11IPLFinal #Dream11IPLMIvDC #jio #MukeshAmbani #MumbaiIndians
Radhesyam,NaN,Thank you mukesh ambani for #jio network 🤣🤣🤣🤣🤣
Aayush,NaN,"Now that #IPL is over, can someone please tell #Jio to make Hotstar VIP free to view from #JioTV again I miss watching PL because of IPL. Also @reliancegroup , itna jeet gaye ho. Thoda hum logo ko bhi dedo #MumbaiIndians"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 PHOTO Nov 10, 2020 ⭐️ MI Vs DC Finals 🌟 MI Won by 5 wickets 👍🏆 DC 156-7 Overs 20 | MI 157 🎯 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 PHOTO Nov 10, 2020 ⭐️ MI Vs DC Finals 🌟 MI Won by 5 wickets 👍🏆 DC 156-7 Overs 20 | MI 157 🎯 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
A2W Techniques,NaN,"Congrats #MI Awesome match, mazaa aa gaya #MIvsDC #MumbaiIndians #Jio #IPLfinal #IPL2020final #IPLfinal2020 #RohitSharma #iplWinner #WinnerMI"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 PHOTO Nov 10, 2020 ⭐️ MI Vs DC Finals 🌟 MI Won by 5 wickets 👍🏆 DC 156-7 Overs 20 | MI 157 🎯 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 PHOTO Nov 10, 2020 ⭐️ MI Vs DC Finals 🌟 MI Won by 5 wickets 👍🏆 DC 156-7 Overs 20 | MI 157 🎯 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 PHOTO Nov 10, 2020 ⭐️ MI Vs DC Finals 🌟 MI Won by 5 wickets 👍🏆 DC 156-7 Overs 20 | MI 157 🎯 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 PHOTO Nov 10, 2020 ⭐️ MI Vs DC Finals 🌟 MI Won by 5 wickets 👍🏆 DC 156-7 Overs 20 | MI 157 🎯 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Way2win & Co | Data & Analytics | www.way2win.in,NaN,"#IPL2020 #IPL #India 🇮🇳👍🏏💤 PHOTO Nov 10, 2020 ⭐️ MI Vs DC Finals 🌟 MI Won by 5 wickets 👍🏆 DC 156-7 Overs 20 | MI 157 🎯 #Cricket #ICC #BCCI #MIvDC #DCvMI #MIvsDC #CEATTyres #RPGEnterprises #twitter #Mahindra #EV #RIL #JIO #way2winin @way2winin 👍"
Kushal,NaN,#lockdown is golden for #RELIANCE - share market cap nearly tripled.. - acquired #future group #jio got investments upto 1.5 lac cr #RelianceRetail stakesale.. #IPL2020 winners #MumbaiIndians again owned by #RelianceIndustries #MukeshAmbani #MotaBhaiRocks @AnilSinghvi_
